data,n,p,method,acc,sens,spec,auc,non-zeros
simulate5_5_0_4_data.csv,1000,10,CD_Med,0.537,0.5301204819277109,0.5438247011952191,0.6282960527368437,11
simulate5_5_0_5_data.csv,1000,10,CD_Med,0.585,0.6304347826086957,0.5384615384615384,0.6523079323422573,11
simulate50_50_10_9_data.csv,1000,100,CD_Med,0.62,0.6769825918762089,0.5590062111801242,0.6681443748973814,101
simulate50_50_10_8_data.csv,1000,100,CD_Med,0.636,0.6121212121212121,0.6594059405940594,0.6777157715771578,101
simulate10_10_0_4_data.csv,1000,20,CD_Med,0.619,0.6381709741550696,0.5995975855130785,0.6617478229216252,21
simulate10_10_0_5_data.csv,1000,20,CD_Med,0.615,0.6291913214990138,0.6004056795131846,0.6568847494108845,21
simulate0_10_0_1_data.csv,1000,10,CD_Med,0.799,0.8387755102040816,0.7607843137254902,0.8684313725490196,11
simulate10_0_5_5_data.csv,1000,10,CD_Med,0.611,0.4601226993865031,0.7553816046966731,0.642917171911205,11
simulate10_0_5_4_data.csv,1000,10,CD_Med,0.575,0.6182902584493042,0.5311871227364185,0.6171082158957722,11
simulate50_50_5_4_data.csv,1000,100,CD_Med,0.624,0.649706457925636,0.5971370143149284,0.6795408977945325,101
simulate50_50_5_5_data.csv,1000,100,CD_Med,0.64,0.6500994035785288,0.6297786720321932,0.7133836818125453,101
simulate50_50_10_10_data.csv,1000,100,CD_Med,0.634,0.6692759295499021,0.5971370143149284,0.6703524505860836,101
simulate5_5_0_9_data.csv,1000,10,CD_Med,0.58,0.5915492957746479,0.5685884691848907,0.6156881647739317,11
simulate5_5_0_8_data.csv,1000,10,CD_Med,0.618,0.5408163265306123,0.692156862745098,0.6661944777911164,11
simulate10_0_3_1_data.csv,1000,10,CD_Med,0.616,0.6077235772357723,0.6240157480314961,0.6349105370974971,11
simulate50_50_3_1_data.csv,1000,100,CD_Med,0.702,0.6979591836734694,0.7058823529411765,0.7758763505402162,101
simulate0_10_0_10_data.csv,1000,10,CD_Med,0.81,0.751953125,0.8709016393442623,0.870849609375,11
